id,nivel,nombre,turno,domicilio,colonia,alcaldia,sostenimiento,ubicacion,lat,lon,coordenadas
2770,Preescolar,CENTRO EDUCATIVO EDUCA MATES,MATUTINO,CAMINO ANT. A SAN PEDRO MARTIR NO. 315,SAN PEDRO MARTIR,TLALPAN,Particular,"CAMINO ANT. A SAN PEDRO MARTIR NO. 315, SAN PEDRO MARTIR, TLALPAN",,,
2771,Preescolar,COLEGIO ALEJANDRO TASSONI,MATUTINO,JORGE ENCISO NO. 1557,HEROES DE CHURUBUSCO,IZTAPALAPA,Particular,"JORGE ENCISO NO. 1557, HEROES DE CHURUBUSCO, IZTAPALAPA",19.359319,-99.1170505,"19.359319,-99.1170505"
2772,Preescolar,JARDIN DE NIÑOS SOLEIL,MATUTINO,NORTE 15 NO. 5226,NUEVA VALLEJO,GUSTAVO A. MADERO,Particular,"NORTE 15 NO. 5226, NUEVA VALLEJO, GUSTAVO A. MADERO",19.4853794,-99.1459341,"19.4853794,-99.1459341"
2773,Preescolar,COLEGIO AMAUTA,MATUTINO,"CALLE AREQUIPA NO. 112 Y MONTEVIDEO NO.132, ESQ. BOGOTA",LINDAVISTA,GUSTAVO A. MADERO,Particular,"CALLE AREQUIPA NO. 112 Y MONTEVIDEO NO.132, ESQ. BOGOTA, LINDAVISTA, GUSTAVO A. MADERO",,,
2774,Preescolar,IL MIO MONDO MONTESSORI,MATUTINO,"MARIANO ESCOBEDO NO. 113, 115, Y 117",ANAHUAC I,MIGUEL HIDALGO,Particular,"MARIANO ESCOBEDO NO. 113, 115, Y 117, ANAHUAC I, MIGUEL HIDALGO",19.4479903,-99.1824646,"19.4479903,-99.1824646"
2775,Preescolar,PROFRA. GUILLERMINA LUTTEROTH,MATUTINO,2A. CERRADA DE MIXTECAS NO. 4,TLACUITLAPA,ALVARO OBREGON,Particular,"2A. CERRADA DE MIXTECAS NO. 4, TLACUITLAPA, ALVARO OBREGON",19.3520409,-99.2380189,"19.3520409,-99.2380189"
2776,Preescolar,COLEGIO ATID,MATUTINO,AV. CARLOS ECHANOVE NO. 224,LOMAS DE VISTA HERMOSA,CUAJIMALPA DE MORELOS,Particular,"AV. CARLOS ECHANOVE NO. 224, LOMAS DE VISTA HERMOSA, CUAJIMALPA DE MORELOS",19.3703129,-99.2779191,"19.3703129,-99.2779191"
2777,Preescolar,AMERICAS UNIDAS,MATUTINO,CHIHUAHUA NO. 23,ROMA SUR,CUAUHTEMOC,Particular,"CHIHUAHUA NO. 23, ROMA SUR, CUAUHTEMOC",19.4185602,-99.1553665,"19.4185602,-99.1553665"
2778,Preescolar,JARDIN DE NIÑOS FRANCISCO LARROYO,MATUTINO,AV. TLAHUAC NO. 7367,SANTA CECILIA,TLAHUAC,Particular,"AV. TLAHUAC NO. 7367, SANTA CECILIA, TLAHUAC",19.2792275,-99.0083257,"19.2792275,-99.0083257"
2779,Preescolar,ERNESTO RUTHERFORD,MATUTINO,JUSTINA NO. 89,SAN LORENZO XICOTENCATL,IZTAPALAPA,Particular,"JUSTINA NO. 89, SAN LORENZO XICOTENCATL, IZTAPALAPA",19.3846403,-99.0273694,"19.3846403,-99.0273694"
2780,Preescolar,INSTITUTO NACE,MATUTINO,ÚRSULO GALVÁN NO. 90,SANTA CRUZ MEYEHUALCO,IZTAPALAPA,Particular,"ÚRSULO GALVÁN NO. 90, SANTA CRUZ MEYEHUALCO, IZTAPALAPA",19.3384865,-99.0463764,"19.3384865,-99.0463764"
