Fecha de Inscripción;Género;Distrito;Tramos de Edad;Nacionalidad;Código Objetivo Profesional 1;Objetivo Profesional 1;Código Objetivo Profesional 2;Objetivo Profesional 2;Código Objetivo Profesional 3;Objetivo Profesional 3
ene-20;Hombre;Latina;Entre 46 y 55 años;Española;9431;Ordenanzas;5833;Conserjes de edificios;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines
ene-20;Mujer;Puente De Vallecas;Entre 36 y 45 años;Extracomunitaria;9100;Empleados domésticos;9210;Personal de limpieza de oficinas, hoteles y otros establecimientos similares;9820;Reponedores
ene-20;Mujer;Moratalaz;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;4500;Empleados administrativos con tareas de atención al público no clasificados bajo otros epígrafes;4122;Empleados de oficina de servicios de apoyo a la producción
ene-20;Mujer;Vicálvaro;Entre 26 y 35 años;Comunitaria;9100;Empleados domésticos;5722;Cuidadores de niños en domicilios;9820;Reponedores
ene-20;Mujer;Centro;Entre 46 y 55 años;Española;3613;Asistentes de dirección y administrativos;3325;Ayudantes fisioterapeutas;4424;Teleoperadores
ene-20;Hombre;Carabanchel;Entre 36 y 45 años;Española;9811;Peones del transporte de mercancías y descargadores;5629;Trabajadores de los cuidados a las personas en servicios de salud no clasificados bajo otros epígrafes;7191;Mantenedores de edificios
ene-20;Hombre;San Blas;Entre 26 y 35 años;Española;2611;Especialistas en contabilidad;3613;Asistentes de dirección y administrativos;4123;Empleados de logística y transporte de pasajeros y mercancías
ene-20;Hombre;Retiro;Entre 56 y 65 años;Extracomunitaria;8331;Operadores de maquinaria de movimientos de tierras y equipos similares;;;;
ene-20;Mujer;Ciudad Lineal;Entre 46 y 55 años;Española;9431;Ordenanzas;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;;
ene-20;Mujer;Villaverde;Mayor de 65 años;Extracomunitaria;3510;Agentes y representantes comerciales;;;;
ene-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;2824;Profesionales del trabajo y la educación social;3714;Promotores de igualdad de oportunidades entre mujeres y hombres;3160;Técnicos de control de calidad de las ciencias físicas, químicas y de las ingenierías
ene-20;Hombre;San Blas;Menor de 25 años;Española;3126;Técnicos en mecánica;7401;Mecánicos y ajustadores de vehículos de motor;;
ene-20;Mujer;Otro Municipio;Entre 36 y 45 años;Española;6120;Trabajadores cualificados en huertas, invernaderos, viveros y jardines;5942;Auxiliares de vigilante de seguridad y similares no habilitados para ir armados;;
ene-20;Mujer;Ciudad Lineal;Menor de 25 años;Española;5500;Cajeros y taquilleros (excepto bancos);5710;Trabajadores de los cuidados personales a domicilio;9320;Preparadores de comidas rápidas
ene-20;Hombre;Latina;Entre 56 y 65 años;Española;9443;Barrenderos y afines;9811;Peones del transporte de mercancías y descargadores;;
ene-20;Hombre;Hortaleza;Entre 46 y 55 años;Extracomunitaria;3129;Otros técnicos de las ciencias físicas, químicas, medioambientales y de las ingenierías;3613;Asistentes de dirección y administrativos;3121;Técnicos en ciencias físicas y químicas
ene-20;Mujer;Carabanchel;Menor de 25 años;Extracomunitaria;4424;Teleoperadores;;;;
ene-20;Hombre;Arganzuela;Entre 26 y 35 años;Española;7199;Otros trabajadores de las obras estructurales de construcción no clasificados bajo otros epígrafes;9811;Peones del transporte de mercancías y descargadores;5500;Cajeros y taquilleros (excepto bancos)
ene-20;Hombre;Puente De Vallecas;Entre 56 y 65 años;Española;9443;Barrenderos y afines;9512;Peones agrícolas en huertas, invernaderos, viveros y jardines;;
ene-20;Hombre;Otro Municipio;Entre 46 y 55 años;Española;7510;Electricistas de la construcción y afines;;;;
ene-20;Hombre;Otro Municipio;Entre 36 y 45 años;Española;7510;Electricistas de la construcción y afines;7250;Mecánicos-instaladores de refrigeración y climatización;;
