id,nombre_del_pilar,alcaldia,nombre_y_o_ubicacion_del_inmueble,estatus_de_conectividad,fecha_de_inauguracion,numero_de_ap_internas,numero_de_ap_externas,latitud,longitud,geopoint
118,BENITO JUAREZ (CHAMIXTO),Cuajimalpa de Morelos,"Centro de Desarrollo Benito Juárez (1138 M2 READECUACIÓN)
Calle Chamixto s/n. Col. Lomas del Padre, Cuajimalpa",CONECTADO,14/11/2019,1,2,19.348254,-99.309431,"19.348254,-99.309431"
119,SAN PABLO CHIMALPA,Cuajimalpa de Morelos,"Centro de Desarrollo Chimalpa, Cuajimalpa de Morelos, Porfirio Díaz, Col.San Pablo Chimalpa",CONECTADO,15/2/2019,2,0,19.353062,-99.317566,"19.353062,-99.317566"
120,RIO TIBER,Cuauhtémoc,"Estación De Policía Cdmx ""Río Tiber"",Circuito Interior Melchor Ocampo y Río Tiber, Colonia Cuauhtémoc",CONECTADO,PRÓXIMA,2,0,19.432818,-99.170648,"19.432818,-99.170648"
121,PERÚ 88,Cuauhtémoc,Peru 88 FCHCM,CONECTADO,PRÓXIMA,6,0,19.439844,-99.134334,"19.439844,-99.134334"
122,FRIDA KAHLO,Cuauhtémoc,"Centro Comunitario Frida Kahlo, Cuauhtémoc Eje Central Lázaro Cárdenas s/n esquina calle Juan A. Mateos, Col.Obrera",CONECTADO,1/3/2019,2,0,19.4106,-99144.0,
123,NUEVA ATZACOALCO,Gustavo A. Madero,"AVENIDA 314 ENTRE LAS CALLES 315 Y 317 COLONIA NUEVA ATZACOALCO, C.P. 07420",CONECTADO,PRÓXIMA,2,0,19.500773,-99.084833,"19.500773,-99.084833"
124,CENTENARIO,Gustavo A. Madero,"Estación De Policía Cdmx “Centenario”, Centenario y Anillo Periférico Rio de los Remedios, Colonia Juan González Romero",CONECTADO,2/9/2019,2,0,19.5091056,-99.0906167,"19.5091056,-99.0906167"
125,BENEMÉRITO DE LAS AMÉRICAS,Gustavo A. Madero,"Benito Juárez, Calle Vicente Riva Palacios  Esq. Melchor Ocampo, Col. Benito Juárez",CONECTADO,PRÓXIMA,3,1,19.535054,-99.138472,"19.535054,-99.138472"
126,BENITA GALEANA,Gustavo A. Madero,"Casa de Cultura Benita Galeana, Gustavo A. Madero Gran Canal de Desagüe, Col. Nueva Tenochtitlán",CONECTADO,17/2/2019,2,0,19.455286,-99.100512,"19.455286,-99.100512"
127,TLALPEXCO,Gustavo A. Madero,"Centro Comunitario  Tlalpexco, Calle De Camino Real / Sauces, Tlalpexco, Cuautepec Barrio Alto",CONECTADO,17/2/2019,2,0,19.544812,-99.125766,"19.544812,-99.125766"
128,ZAPATA VELA,Iztacalco,"Deportivo Zapata Vela, (512 M2 DE REHABILITACIÓN)",CONECTADO,27/6/2019,1,0,19.38224,-99.096726,"19.38224,-99.096726"
129,ROJO GÓMEZ,Iztacalco,"Estación De Policía Cdmx “Javier Rojo Gómez”, Eje 5 Oriente Javier Rojo Gómez y Calzada Ignacio Zaragoza, Colonia Agrícla Oriental",CONECTADO,8/9/2019,1,0,19.404725,-99.0709694,"19.404725,-99.0709694"
130,LA FORTALEZA,Iztacalco,"Centro Social y Cultural La Fortaleza, calle ote 116 y calle puente de san juan, (770 M2 DE REHABILITACIÓN)",CONECTADO,SIN FECHA,2,0,19.387699,-99.091602,"19.387699,-99.091602"
131,REFORMA IZTLACIHUATL,Iztacalco,"Estación De Policía Cdmx ""Reforma Iztlacihuatl"", Iztacalco",CONECTADO,PRÓXIMA,1,1,19.386334,-99.1326513,"19.386334,-99.1326513"
132,TEZONTLE,Iztacalco,"Estación de Policía CDMX ""Tezontle"", Alcaldía Iztacalco",CONECTADO,PRÓXIMA,1,0,19.388294,-99.112528,"19.388294,-99.112528"
133,VILLA CID,Iztapalapa,"Centro Comunitario Villa Cid,  calle villa Cid S/N, Col. Desarrollo Urbano Quezalcoatl",CONECTADO,PRÓXIMA,2,0,19.321479,-99.042488,"19.321479,-99.042488"
134,NOGAL,Iztapalapa,"Estación De Policía Cdmx ""Nogal"", Calle Fresno y Nogal, Colonia Citlali,",CONECTADO,PRÓXIMA,2,1,19.341913,-99.022999,"19.341913,-99.022999"
135,PURISIMA,Iztapalapa,"Estación De Policía Cdmx ""Purísima"", Eje 5 Sur Purísima y Eje 3 Oriente Francisco del Paso y Troncoso, Colonia Purísima Atlazopal",CONECTADO,PRÓXIMA,1,0,19.379166,-99.109813,"19.379166,-99.109813"
136,PROGRESO SUR,Iztapalapa,"Estación De Policía Cdmx ""Progreso Sur"", Eje 3 Oriente Arneses y Calzada Ermita Iztapalapa, Colonia Progreso Sur,",CONECTADO,PRÓXIMA,2,0,19.356763,-99.113051,"19.356763,-99.113051"
137,FACUNDO CABRAL,Iztapalapa,"Centro Cultural Facundo Cabral, calle moctezuma s/n, col los reyes, (474.83 M2 DE REHABILITACIÓN)",CONECTADO,24/5/2019,2,0,19.34347,-99.102391,"19.34347,-99.102391"
138,PALMITAS,Iztapalapa,"CENTRO SOCIAL PALMITAS, calle nativitas s/n esq. Calle margarita palmitas, Col.",CONECTADO,24/8/2019,2,0,19.3389556,-99.02585,"19.3389556,-99.02585"
