Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2020S003338;28/01/2020;7:40;CALL. DOCTOR ESQUERDO;6;SALAMANCA;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 15 A 17 AÑOS;Hombre;01
2020S002166;29/01/2020;19:48;CALL. CEA BERMUDEZ / CALL. GUZMAN EL BUENO;-;CHAMBERÍ;Alcance;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Hombre;14
2020S002132;29/01/2020;12:40;CALL. PINOS BAJA / CALL. PINOS ALTA;-;TETUÁN;Colisión fronto-lateral;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 25 A 29 AÑOS;Hombre;07
2020S002426;30/01/2020;18:10;CALL. LOPEZ DE HOYOS / CALL. ROS DE OLANO;-;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;14
2020S002409;31/01/2020;9:00;AVDA. LOS ROSALES;407;VILLAVERDE;Caída;Nublado;Bicicleta;Conductor;DE 60 A 64 AÑOS;Hombre;05
2020S002326;01/02/2020;10:35;CALL. MARQUES DE VIANA;48;TETUÁN;Caída;Nublado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 55 A 59 AÑOS;Hombre;07
2020S002399;01/02/2020;1:20;CALL. ALCALA;65;SALAMANCA;Alcance;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07
2020S002495;03/02/2020;19:35;CALL. NARVAEZ;39;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;07
2020S002454;03/02/2020;16:05;CALL. TINAMUS;21;CARABANCHEL;Caída;Despejado;Bicicleta EPAC (pedaleo asistido);Conductor;DE 15 A 17 AÑOS;Hombre;01
2020S002419;03/02/2020;13:10;CALL. SOFIA / AVDA. CANILLEJAS A VICALVARO;-;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Hombre;03
2020S002639;04/02/2020;19:20;CALL. ALCALA / CALL. ALMERIA;-;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;
2020S002635;04/02/2020;16:00;AVDA. DEMOCRACIA;25;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 70 A 74 AÑOS;Hombre;05
2020S002768;04/02/2020;9:10;AVDA. COMPLUTENSE;40;MONCLOA-ARAVACA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 25 A 29 AÑOS;Hombre;
2020S002812;05/02/2020;21:00;CALL. FELIPE CASTRO / CALL. MADRIDEJOS;-;USERA;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;
